id,expectedValue,expectedValueUpdatedAt,betSide,market,bookmaker,bookmakerOdds,eventId,event
62072162-Totals-home-Duel-6,102.6246662696444,2025-11-26T15:08:18.377Z,home,"{'name': 'Totals', 'hdp': 6, 'home': '2.124', 'away': '1.889', 'max': 3750}",Duel,"{'home': '2.18', 'away': '1.66', 'hdp': '6', 'href': 'https://duel.com/sports?bt-path=/ice-hockey/usa/nhl/e-e-2604657895090040843'}",62072162,"{'home': 'Tampa Bay Lightning', 'away': 'Calgary Flames', 'date': '2025-11-27T00:00:00Z', 'sport': 'Ice Hockey', 'league': 'USA - NHL'}"
60574919-Totals-home-Duel-46.5,132.5994290964458,2025-11-26T15:08:15.271Z,home,"{'name': 'Totals', 'hdp': 46.5, 'home': '1.704', 'away': '2.420', 'max': 5000}",Duel,"{'home': '2.26', 'away': '2.24', 'hdp': '46.5', 'href': 'https://duel.com/sports?bt-path=/american-football/1669818837568196608/e-e-2559329193615822890'}",60574919,"{'home': 'Detroit Lions', 'away': 'Green Bay Packers', 'date': '2025-11-27T18:00:00Z', 'sport': 'American Football', 'league': 'USA - NFL'}"
61810310-2-ML-home-Duel,104.17888166187817,2025-11-26T15:07:53.692Z,home,"{'name': 'ML', 'home': '3.264', 'away': '1.442', 'max': 127}",Duel,"{'home': '3.40', 'away': '1.48', 'draw': '8.60', 'href': 'https://duel.com/sports?bt-path=/handball/1669819052790517760/e-e-2605169824342609935'}",61810310,"{'home': 'Chartres Metropole Handball', 'away': 'Saint Raphael', 'date': '2025-11-28T19:00:00Z', 'sport': 'Handball', 'league': 'France - LNH Division 1'}"
65559094-Totals-away-Duel-3.5,103.75663333279984,2025-11-26T15:06:31.449Z,away,"{'name': 'Totals', 'hdp': 3.5, 'home': '4.030', 'away': '1.330', 'max': 200}",Duel,"{'home': '2.70', 'away': '1.38', 'hdp': '3.5', 'href': 'https://duel.com/sports?bt-path=/volleyball/1677859002337353728/e-e-2605173468303593509'}",65559094,"{'home': 'Stralsunder Wildcats', 'away': 'MTV Stuttgart', 'date': '2025-11-26T18:30:00Z', 'sport': 'Volleyball', 'league': 'Germany - DVV Cup, Women'}"
62072164-Totals-home-Duel-6.5,114.01650243684128,2025-11-26T15:04:21.136Z,home,"{'name': 'Totals', 'hdp': 6.5, 'home': '2.105', 'away': '1.905', 'max': 3750}",Duel,"{'home': '2.40', 'away': '1.55', 'hdp': '6.5', 'href': 'https://duel.com/sports?bt-path=/ice-hockey/usa/nhl/e-e-2604657895085846542'}",62072164,"{'home': 'Columbus Blue Jackets', 'away': 'Toronto Maple Leafs', 'date': '2025-11-27T00:00:00Z', 'sport': 'Ice Hockey', 'league': 'USA - NHL'}"
62070626-2-ML-away-Duel,106.75853725109121,2025-11-26T15:03:29.429Z,away,"{'name': 'ML', 'home': '1.784', 'away': '2.276', 'max': 150}",Duel,"{'home': '1.88', 'away': '2.43', 'draw': '8.00', 'href': 'https://duel.com/sports?bt-path=/handball/1670079188524208128/e-e-2604991535770644526'}",62070626,"{'home': 'Handball Tirol', 'away': 'JAGS Voslau', 'date': '2025-11-26T17:30:00Z', 'sport': 'Handball', 'league': 'Austria - HLA Meisterliga'}"
62090008-2-ML-home-Duel,114.16277345527025,2025-11-26T15:02:35.886Z,home,"{'name': 'ML', 'home': '3.854', 'away': '1.350', 'max': 162}",Duel,"{'home': '4.40', 'away': '1.32', 'draw': '10.00', 'href': 'https://duel.com/sports?bt-path=/handball/germany/bundesliga/e-e-2604800863184756742'}",62090008,"{'home': 'HSG Wetzlar', 'away': 'Rhein-Neckar Lowen', 'date': '2025-11-27T18:00:00Z', 'sport': 'Handball', 'league': 'Germany - Bundesliga'}"
61957292-2-ML-home-Duel,102.15741472584097,2025-11-26T14:59:00.078Z,home,"{'name': 'ML', 'home': '1.184', 'away': '6.422', 'max': 200}",Duel,"{'home': '1.21', 'away': '5.60', 'draw': '12.00', 'href': 'https://duel.com/sports?bt-path=/handball/1669819016690143232/e-e-2604430614203609103'}",61957292,"{'home': 'KS Iskra Kielce', 'away': 'CS Dinamo Bucuresti', 'date': '2025-11-26T17:45:00Z', 'sport': 'Handball', 'league': 'International - Champions League'}"
61957400-2-ML-away-Duel,108.30996983607972,2025-11-26T14:57:38.773Z,away,"{'name': 'ML', 'home': '1.876', 'away': '2.142', 'max': 50}",Duel,"{'home': '1.90', 'away': '2.32', 'draw': '7.80', 'href': 'https://duel.com/sports?bt-path=/handball/international/champions-league/e-e-2604813881129971733'}",61957400,"{'home': 'Paris Saint-Germain', 'away': 'Wisla Plock', 'date': '2025-11-27T19:45:00Z', 'sport': 'Handball', 'league': 'International - Champions League'}"
64565316-ML-home-Duel,101.88614074450084,2025-11-26T14:57:37.68Z,home,"{'name': 'ML', 'home': '4.613', 'away': '1.277', 'max': 200}",Duel,"{'home': '4.70', 'away': '1.16', 'href': 'https://duel.com/sports?bt-path=/volleyball/1672849554233610240/e-e-2605126026489110567'}",64565316,"{'home': 'Volley Gent', 'away': 'VBC Waremme', 'date': '2025-11-26T19:30:00Z', 'sport': 'Volleyball', 'league': 'Belgium - Liga Heren'}"
