61624190-Team Total Home-away-Duel-2.5,100.94,Team Total Home,Duel,2.32,1.58,,61624190,FC Barcelona,Athletic Bilbao,Football,Spain - LaLiga
61624190-Spread-away-Duel--1.25,102.77,Spread,Duel,1.87,1.93,,61624190,FC Barcelona,Athletic Bilbao,Football,Spain - LaLiga
56418733-Totals HT-away-Duel-1.5,103.68,Totals HT,Duel,2.52,1.50,,56418733,Albania,England,Football,"International - WC Qualification, UEFA"
61624198-Totals-away-Duel-2.5,100.35,Totals,Duel,1.75,2.08,,61624198,Atletico Madrid,Real Oviedo,Football,Spain - LaLiga
64484713-ML-away-Duel,102.99,ML,Duel,3.15,2.16,3.15,64484713,Al Jazira (UAE),Al Wasl FC,Football,United Arab Emirates - Pro League Cup
61624198-Team Total Home-away-Duel-2.5,100.71,Team Total Home,Duel,2.32,1.58,,61624198,Atletico Madrid,Real Oviedo,Football,Spain - LaLiga
61624198-Spread-away-Duel--1.5,102.31,Spread,Duel,1.82,1.99,,61624198,Atletico Madrid,Real Oviedo,Football,Spain - LaLiga
58315593-Corners Spread-home-Duel-1.5,101.25,Corners Spread,Duel,1.79,1.87,,58315593,Ferroviaria Araraquara SP,CA Paranaense PR,Football,Brazil - Brasileiro Serie B
61098861-Corners Spread-home-Duel--0.5,101.6,Corners Spread,Duel,1.88,1.78,,61098861,CA Central Cordoba SE,CA Banfield,Football,Argentina - Liga Profesional
61098871-Corners Spread-home-Duel-0.5,102.59,Corners Spread,Duel,1.99,1.69,,61098871,Estudiantes de La Plata,Argentinos Juniors,Football,Argentina - Liga Profesional
61098873-Corners Totals-away-Duel-8.5,102.81,Corners Totals,Duel,1.66,2.08,,61098873,Boca Juniors,CA Tigre,Football,Argentina - Liga Profesional
61098873-Corners Spread-away-Duel--2.5,102.6,Corners Spread,Duel,1.76,1.91,,61098873,Boca Juniors,CA Tigre,Football,Argentina - Liga Profesional
61098865-Corners Spread-home-Duel-0.5,101.05,Corners Spread,Duel,1.96,1.71,,61098865,Newell's Old Boys,Racing Club Avellaneda,Football,Argentina - Liga Profesional
61623230-Corners Spread-home-Duel-0.5,101.76,Corners Spread,Duel,1.79,1.87,,61623230,CD Mirandes,Burgos CF,Football,Spain - LaLiga 2
56418735-Bookings Totals-away-Duel-3.5,121.1,Bookings Totals,Duel,1.47,2.40,,56418735,Serbia,Latvia,Football,"International - WC Qualification, UEFA"
56418655-Totals-home-Duel-2.75,105.1,Totals,Duel,2.02,1.79,,56418655,Italy,Norway,Football,"International - WC Qualification, UEFA"
56418735-Spread-away-Duel--1.75,101.96,Spread,Duel,1.80,2.02,,56418735,Serbia,Latvia,Football,"International - WC Qualification, UEFA"
56524275-ML-away-Duel,109.09,ML,Duel,1.46,5.80,4.20,56524275,FC Rosengaard Malmo,Linkopings FC,Football,Sweden - Damallsvenskan
63472131-Team Total Away-away-Duel-0.5,106.89,Team Total Away,Duel,1.40,2.60,,63472131,AO Kavala 1965,Kampaniakos,Football,Greece - Super League 2
63472131-ML-home-Duel,105.5,ML,Duel,2.18,3.50,2.78,63472131,AO Kavala 1965,Kampaniakos,Football,Greece - Super League 2
64375743-Totals-away-Duel-2.5,101.41,Totals,Duel,1.70,2.10,,64375743,Finland,Andorra,Football,International - Int. Friendly Games
56418573-Totals-away-Duel-2.25,103.76,Totals,Duel,2.02,1.79,,56418573,Hungary,Ireland,Football,"International - WC Qualification, UEFA"
56418573-ML-draw-Duel,101.65,ML,Duel,1.97,4.10,3.30,56418573,Hungary,Ireland,Football,"International - WC Qualification, UEFA"
61098865-Team Total Away-away-Duel-1.5,100.79,Team Total Away,Duel,2.22,1.60,,61098865,Newell's Old Boys,Racing Club Avellaneda,Football,Argentina - Liga Profesional
56418735-Team Total Home-away-Duel-2.5,101.25,Team Total Home,Duel,1.97,1.80,,56418735,Serbia,Latvia,Football,"International - WC Qualification, UEFA"
61098865-Team Total Home-home-Duel-0.5,101.82,Team Total Home,Duel,1.55,2.34,,61098865,Newell's Old Boys,Racing Club Avellaneda,Football,Argentina - Liga Profesional
61098865-Spread-home-Duel-0.25,106.5,Spread,Duel,2.12,1.69,,61098865,Newell's Old Boys,Racing Club Avellaneda,Football,Argentina - Liga Profesional
65319308-ML-home-Duel,106.94,ML,Duel,1.58,6.00,3.30,65319308,Niger Tornadoes FC,Katsina United FC,Football,Nigeria - Premier League
61098873-ML-home-Duel,101.28,ML,Duel,1.74,5.60,3.20,61098873,Boca Juniors,CA Tigre,Football,Argentina - Liga Profesional
63325931-ML-home-Duel,109.92,ML,Duel,2.80,2.18,3.55,63325931,Muaither SC,Al Kharaitiyat SC,Football,Qatar - QSL Cup
64484703-Team Total Home-away-Duel-1.5,102.04,Team Total Home,Duel,1.56,2.18,,64484703,Shabab Al Ahli Dubai,Al-Nasr Dubai CSC,Football,United Arab Emirates - Pro League Cup
64484703-Spread-away-Duel--1,105.88,Spread,Duel,1.89,1.76,,64484703,Shabab Al Ahli Dubai,Al-Nasr Dubai CSC,Football,United Arab Emirates - Pro League Cup
61214877-ML-draw-Duel,100.53,ML,Duel,2.12,3.50,2.94,61214877,Aurora FC,CSD Xelaju MC,Football,Guatemala - Liga Nacional. Apertura
61720632-ML-home-Duel,101.23,ML,Duel,1.18,14.00,7.60,61720632,Galatasaray Istanbul,Genclerbirligi SK,Football,Turkiye - Super Lig
58315593-ML-away-Duel,104.15,ML,Duel,3.85,2.02,3.25,58315593,Ferroviaria Araraquara SP,CA Paranaense PR,Football,Brazil - Brasileiro Serie B
61688118-Team Total Away-away-Duel-0.5,111.81,Team Total Away,Duel,1.44,2.48,,61688118,CD Tenerife,Granada CF,Football,Spain - Primera Division Women
